Row,r all freqs pre/post linenoise reduction,r 50 hz pre/post linenoise reduction,r 55 hz pre/post linenoise reduction,r 58 hz pre/post linenoise reduction,r 59 hz pre/post linenoise reduction,r 60 hz pre/post linenoise reduction,r 61 hz pre/post linenoise reduction,r 62 hz pre/post linenoise reduction,r 65 hz pre/post linenoise reduction,r 70 hz pre/post linenoise reduction,RMSE post/pre waveleting,MAE post/pre waveleting,SNR post/pre waveleting,PeakSNR post/pre waveleting,r alldata post/pre waveleting,r 2 hz post/pre waveleting,r 5 hz post/pre waveleting,r 8 hz post/pre waveleting,r 12 hz post/pre waveleting,r 20 hz post/pre waveleting,r 30 hz post/pre waveleting,r 45 hz post/pre waveleting,r 70 hz post/pre waveleting
"MOD1502_Y1_a.BDF_czRef_child.set",0.999996965460331,0.999980328747782,0.999920889125384,0.99939692181315,0.994729898923989,0.698001334913812,0.992506298232369,0.998441124027393,0.999541876745656,0.999946976216866,3518.71179522553,404.522547700204,-19.5827181734755,-6.62310191883154,0.00463000120555447,0.642403844358111,0.698351176028899,0.62195968101669,0.653840623995086,0.608908186221925,0.623016101145356,0.0225840300126452,0.0550197030256714
"MOD1503_Y1_a.BDF_czRef_child.set",0.999846263815569,0.999797342796257,0.999259477274776,0.996202685611806,0.976806334600075,0.0926908285067169,0.970134529671278,0.995977707883408,0.998991745670662,0.999551318416899,223.293181816864,74.601714939905,-16.4096341413422,-3.41496980627104,0.155657603224361,0.0206915862626742,0.0228098000825402,0.024460096721313,0.00514507539157967,0.00181949423917597,0.00477326127041987,0.00543481616846602,0.00669805468750685
"MOD1504_Y1_a.BDF_czRef_child.set",0.999999850322572,0.999996311584048,0.999985372519868,0.999860910787295,0.997409605492552,0.98569410241607,0.99212545194425,0.999497545719165,0.999917000759859,0.999992426557177,448.311081329683,138.558092220393,-22.7383197267178,-9.93609515019238,0.0642548978644457,0.111289462361061,0.797763550964736,0.450368413023094,0.239847530601385,0.457919958464,0.625778085676398,0.01844934246676,0.0153942439654843
"MOD1508_Y1_a.BDF_czRef_child.set",0.999965512427409,0.999140146860201,0.997262674201915,0.985197003207957,0.932066144316245,0.019183829348218,0.916352582748029,0.979042791974869,0.995042956058827,0.998201515303082,119.517801369158,44.7179834153645,-15.4028011559722,-2.17257149777594,0.178695379713854,0.0235918565401254,0.0355486248994122,0.00693840379369451,0.0146961655036183,0.0197352671634947,0.0278333624535893,0.00925678007790442,0.0149849409536709
"MOD1516_Y1_a.BDF_czRef_child.set",0.999999958850791,0.999981017858723,0.999912799893012,0.999163179072149,0.984817189967971,0.781115746061768,0.981710582888459,0.998549134171232,0.999672577946274,0.999945964119866,86.823704870354,34.3799520413834,-7.09209219869072,5.96036532649221,0.211469671825629,0.85350362343709,0.886623344121304,0.869110371614225,0.913213047396102,0.938011151927593,0.949732754567291,0.0959930728991309,0.1384395084773
"MOD1517_Y1_a.BDF_czRef_child.set",0.999928429490124,0.999991798659442,0.999964952512102,0.999774040260366,0.998783721955514,0.798754814751688,0.998582126761026,0.999730601637921,0.999952048007947,0.999985533616762,735.246490637586,188.321883971117,-20.7325775062112,-8.14125360945313,0.0857137903763091,0.00957494105842589,0.00938520974404878,0.00406458949762851,0.00102622636138419,0.00112029957900476,0.00104942776697873,0.00670049286149593,0.00588459192611731
"MOD1518_Y1_a.BDF_czRef_child.set",0.999999997659908,0.999998601115763,0.99999312633665,0.999923781381942,0.99354892633477,0.984528126713108,0.99385713891656,0.99989271934793,0.999982445615075,0.999997109797139,49.7114578854574,29.2871316248992,-4.16798859665343,8.78597504375259,0.369983736443451,0.91812689181478,0.759207662974476,0.81209626359033,0.883073250367906,0.867838391951809,0.882802619365302,0.113080571204633,0.165917251929624
"MOD1522_Y1_a.BDF_czRef_child.set",0.999990625161732,0.999037828003684,0.996843527498257,0.978836346847698,0.896006738727339,0.0382359282804309,0.855082452764944,0.943985219187902,0.977001822440466,0.997098101259421,55.5469125512753,39.1324390671168,-3.83348144482309,9.67328921408413,0.56184902794944,0.406906800738592,0.545844953454242,0.573424350230597,0.487445042291332,0.706408717724087,0.764223122142627,0.032083745156195,0.0937638256946565
"MOD1532_Y1_a.BDF_czRef_child.set",0.999999993717407,0.999996186274399,0.999983428605836,0.999838743349308,0.9938789699505,0.974097814547032,0.985424571130451,0.999708362645032,0.999959093749884,0.999993229740891,38.80055458267,26.5655864783066,-2.18451386307456,10.5174095744298,0.593474214049504,0.9008505966284,0.902258740809791,0.945293591299339,0.95679407895074,0.956345770290169,0.943192445056418,0.153310049310067,0.191013525212819
"MOD1533_Y1_a.BDF_czRef_child.set",0.999998475922234,0.999838490023625,0.999440053702643,0.996709567268241,0.952416891470276,0.187939773099643,0.940527336391574,0.993323725389021,0.998268009065091,0.999681771189911,123.696622312711,56.0565650187541,-13.1708581244909,-0.116277640754521,0.216215772492871,0.377101534178533,0.782315944183913,0.811631624578617,0.734081346265388,0.720503599031773,0.809414129746291,0.0168500756822432,0.0296245708850361
"MOD1558_Y1_a.BDF_czRef_child.set",0.999912666538581,0.999157779500023,0.997567565910865,0.990820838663097,0.957374695516329,0.754884345841705,0.964330716476272,0.989263293881625,0.995294486606499,0.998823468510221,24322.9429140662,8331.71653543286,-39.9227183103241,-25.81213851643,0.00821301369951695,0.38738999003842,0.426458564351365,0.413897913999443,0.433230296957755,0.472956801622883,0.484803300786157,0.0755964797732108,0.110610186339201
"MOD1567_Y1_a.BDF_czRef_child.set",0.999963878332141,0.999959874653772,0.999849734415557,0.998874659991801,0.992856966951342,0.932421623693486,0.989560893408949,0.998463288426394,0.9996770939732,0.99990595897491,77.0280512420154,31.08938007474,-6.69419746137692,6.31790649692695,0.334651803999857,0.844999894832623,0.878842946833631,0.908448189472955,0.859443671807206,0.901409199233706,0.89094270953549,0.120268669369793,0.141669724549443
